episode,return,length,mean_goal_error,success_ratio,op_delta_damage_sum,self_delta_damage_sum
1,42.26656572865613,297,0.07191530439488414,0.468013468013468,0.0,0.0
2,50.79290643542481,299,0.06641614723664063,0.5518394648829431,0.0,0.0
3,28.759625138583942,298,0.09024453205650285,0.3053691275167785,0.0,0.0
4,63.32179619666567,294,0.05184969777355389,0.7006802721088435,0.0,0.0
5,41.70453587672091,301,0.07031169112932642,0.45182724252491696,0.0,0.0
6,53.525317174440715,294,0.06276315187110382,0.5850340136054422,0.0,0.0
7,49.20352117223956,297,0.06872125122984651,0.5353535353535354,0.0,0.0
8,47.89975339977536,293,0.06544272342232714,0.5392491467576792,0.0,0.0
9,47.16565901134163,297,0.07617359703739082,0.5151515151515151,0.0,0.0
10,47.356221059380914,297,0.07202561425440239,0.5151515151515151,0.0,0.0
11,42.442781137952124,289,0.08692099223603014,0.47750865051903113,0.0,0.0
12,49.931382817798294,291,0.06634450332610468,0.5567010309278351,0.0,0.0
13,47.06597356466955,286,0.07113506676225395,0.5454545454545454,0.0,0.0
14,43.758785282127064,289,0.07587535828867585,0.49480968858131485,0.0,0.0
15,43.261535287310835,297,0.07215478037944947,0.48148148148148145,0.0,0.0
16,44.20152904134011,303,0.08056975716706549,0.47194719471947194,0.0,0.0
17,43.537728818308096,287,0.07621605455460033,0.4878048780487805,0.0,0.0
18,36.26918285898137,292,0.07612131076724563,0.3904109589041096,0.0,0.0
19,28.62147370260209,294,0.0874648805023456,0.30612244897959184,0.0,0.0
20,35.88243443344254,300,0.07967885660628478,0.38666666666666666,0.0,0.0
21,45.237177811795846,293,0.07653064265491205,0.5051194539249146,0.0,0.0
22,39.06301954358469,298,0.08075085087310548,0.4161073825503356,0.0,0.0
23,37.759531213147056,295,0.0672276678731886,0.42033898305084744,0.0,0.0
24,60.91371903103209,299,0.05453693774531916,0.6688963210702341,0.0,0.0
25,32.44404944861162,295,0.07925897947812484,0.3593220338983051,0.0,0.0
26,45.6353039583264,299,0.08089228138875802,0.5050167224080268,0.0,0.0
27,35.9986370044644,293,0.07701213067912405,0.39590443686006827,0.0,0.0
28,51.054309318889864,292,0.07465243997843299,0.571917808219178,0.0,0.0
29,39.64774497510007,289,0.07316228922675638,0.4359861591695502,0.0,0.0
30,43.123931310430635,296,0.07437451070526967,0.47297297297297297,0.0,0.0
31,55.30697409434197,291,0.06176476154950067,0.6219931271477663,0.0,0.0
32,48.840461626408796,298,0.06688619727556337,0.5335570469798657,0.0,0.0
33,55.2726343839895,299,0.06707367236199586,0.6053511705685619,0.0,0.0
34,43.47771457951785,296,0.08244828441859903,0.47635135135135137,0.0,0.0
35,53.46127889689524,289,0.06135218608544359,0.6055363321799307,0.0,0.0
36,62.212354823132046,295,0.06297179225642803,0.688135593220339,0.0,0.0
37,50.41079934639856,285,0.06458115559398082,0.5754385964912281,0.0,0.0
38,38.20053500344511,293,0.08274857656642438,0.4197952218430034,0.0,0.0
39,43.721440496476134,298,0.08039480670286506,0.4865771812080537,0.0,0.0
40,45.14984942492447,292,0.06789050590604136,0.5102739726027398,0.0,0.0
41,49.73339146048238,297,0.06964587623422797,0.5387205387205387,0.0,0.0
42,43.07645856225281,296,0.07689288719179663,0.46283783783783783,0.0,0.0
43,45.67654538858915,299,0.07130348333546947,0.5083612040133779,0.0,0.0
44,37.71603464216582,288,0.07426516670319769,0.4166666666666667,0.0,0.0
45,44.96367969109269,293,0.0755411842170429,0.5017064846416383,0.0,0.0
46,31.708481155641493,294,0.08846024555616638,0.3469387755102041,0.0,0.0
47,57.521522324648686,295,0.05506325783365864,0.6372881355932203,0.0,0.0
48,59.500479975919006,295,0.06239849359302198,0.6474576271186441,0.0,0.0
49,53.21949453743582,299,0.07132621219126277,0.5785953177257525,0.0,0.0
50,45.828839076915756,289,0.06703519037438099,0.5224913494809689,0.0,0.0
51,56.75275403633714,299,0.057360251985465405,0.6220735785953178,0.0,0.0
52,41.72766910583596,292,0.07570811547338963,0.4691780821917808,0.0,0.0
53,22.314289574933355,292,0.09929611235346696,0.24315068493150685,0.0,0.0
54,45.406194293238514,293,0.08047510302107488,0.49829351535836175,0.0,0.0
55,52.479505487019196,302,0.07045528645448337,0.5596026490066225,0.0,0.0
56,36.07070916734983,295,0.09165651795722671,0.4033898305084746,0.0,0.0
57,41.434729505039286,296,0.07679192779736745,0.4527027027027027,0.0,0.0
58,43.181570847871626,296,0.06895101130814166,0.47635135135135137,0.0,0.0
59,45.45708330813795,288,0.06880352987597387,0.5069444444444444,0.0,0.0
60,51.2600407147911,295,0.075143481614226,0.5728813559322034,0.0,0.0
61,51.893574885543785,293,0.070348011959128,0.5767918088737202,0.0,0.0
62,49.026539320417214,291,0.06917811845688476,0.5532646048109966,0.0,0.0
63,31.046962245880422,294,0.09110196575927897,0.336734693877551,0.0,0.0
64,51.33944709035859,294,0.06353624121976548,0.5680272108843537,0.0,0.0
65,42.99977356402087,289,0.07961702470548425,0.4844290657439446,0.0,0.0
66,34.47703467201791,291,0.08601142699058932,0.3848797250859107,0.0,0.0
67,45.26465263220598,292,0.06608808469282437,0.5034246575342466,0.0,0.0
68,36.52886291730101,288,0.0784108999133524,0.4166666666666667,0.0,0.0
69,46.36942066482152,290,0.07922235925135941,0.5275862068965518,0.0,0.0
70,42.39441601702811,297,0.07045869102783074,0.46464646464646464,0.0,0.0
71,46.29316458015819,294,0.07465539411419914,0.5068027210884354,0.0,0.0
72,39.47448652594176,296,0.0735808243421284,0.42905405405405406,0.0,0.0
73,48.77817310241517,294,0.06807886066586794,0.54421768707483,0.0,0.0
74,34.98994251030672,300,0.08296008276442687,0.37,0.0,0.0
75,39.1418210728516,296,0.0791618646802129,0.43243243243243246,0.0,0.0
76,48.33535002001736,303,0.06977219970607915,0.5148514851485149,0.0,0.0
77,67.41551368919318,300,0.05008780109385649,0.7333333333333333,0.0,0.0
78,42.350927465362474,292,0.07182124359150456,0.4589041095890411,0.0,0.0
79,36.10577808652306,292,0.09953255976920258,0.410958904109589,0.0,0.0
80,42.50698678223853,293,0.06982147566491019,0.46757679180887374,0.0,0.0
81,58.4798235714552,298,0.06518404915828833,0.6409395973154363,0.0,0.0
82,45.791573143869755,294,0.07514745595098353,0.5136054421768708,0.0,0.0
83,43.02123087766813,301,0.08075931027185085,0.4684385382059801,0.0,0.0
84,30.388701995223528,295,0.09488729518854012,0.3254237288135593,0.0,0.0
85,55.58057195595029,290,0.07152349229516654,0.6379310344827587,0.0,0.0
86,43.57618388789706,303,0.07067718681427512,0.46534653465346537,0.0,0.0
87,34.82050929055549,297,0.08876807342976432,0.38047138047138046,0.0,0.0
88,42.08676729617582,289,0.08825601315106488,0.4740484429065744,0.0,0.0
89,41.77506135546719,292,0.08100276519480633,0.4726027397260274,0.0,0.0
90,38.13779908901779,291,0.08538438781737462,0.41580756013745707,0.0,0.0
91,37.975326225227036,291,0.08056123329396919,0.41924398625429554,0.0,0.0
