episode,return,length,mean_goal_error,success_ratio,episode_success,op_delta_damage_sum,self_delta_damage_sum
1,-120.75967195630074,167,0.714309415595974,0.0,0.0,0.0,0.0
2,-2.0442652702331543,2,0.5221326351165771,0.0,0.0,0.0,0.0
3,-2.21539306640625,2,0.607696533203125,0.0,0.0,0.0,0.0
4,-1.7116463482379913,2,0.35082319378852844,0.0,0.0,0.0,0.0
5,-1.8582899272441864,2,0.41914495825767517,0.0,0.0,0.0,0.0
6,-9.062760576605797,66,0.16655697786446774,1.0,1.0,0.0,0.0
7,-8.427634909749031,48,0.21640905986229578,1.0,1.0,0.0,0.0
8,-0.642452634871006,18,0.14569181038273704,1.0,1.0,0.0,0.0
9,-149.31701838970184,276,0.5343732574711675,0.0,0.0,0.0,0.0
10,-1.4477195143699646,2,0.2238597273826599,0.0,0.0,0.0,0.0
11,-1.6030558943748474,2,0.3015279173851013,0.0,0.0,0.0,0.0
12,-1.4706392288208008,2,0.2353196144104004,0.0,0.0,0.0,0.0
13,-2.1358848214149475,2,0.5679424405097961,0.0,0.0,0.0,0.0
14,-1.8854038715362549,2,0.44270193576812744,0.0,0.0,0.0,0.0
15,-1.8070127665996552,2,0.39350637793540955,0.0,0.0,0.0,0.0
16,-23.64271680265665,152,0.1651494516745994,1.0,1.0,0.0,0.0
17,-166.81394603848457,279,0.5897632511499534,0.0,0.0,0.0,0.0
18,-2.0554559230804443,2,0.5277279615402222,0.0,0.0,0.0,0.0
19,-1.843359500169754,2,0.4216797649860382,0.0,0.0,0.0,0.0
20,-1.4789461493492126,2,0.23947304487228394,0.0,0.0,0.0,0.0
21,-233.19270902872086,312,0.74327791424898,0.0,0.0,0.0,0.0
22,-1.7035837769508362,2,0.3517919182777405,0.0,0.0,0.0,0.0
23,-1.3589019179344177,2,0.17945092916488647,0.0,0.0,0.0,0.0
24,-1.3337264657020569,2,0.16686326265335083,0.0,0.0,0.0,0.0
25,-2.042046070098877,2,0.5210230350494385,0.0,0.0,0.0,0.0
