step,reward,goal_error,goal_progress,goal_success,op_delta_damage,self_delta_damage,stage_name
1,-0.9387744069099426,0.9387744069099426,0.0,0.0,0.0,0.0,phase1_locomotion
2,-0.6984301805496216,0.6984301805496216,0.0,0.0,0.0,0.0,phase1_locomotion
3,-0.5755250453948975,0.5755250453948975,0.0,0.0,0.0,0.0,phase1_locomotion
4,-0.5831997394561768,0.5831997394561768,0.0,0.0,0.0,0.0,phase1_locomotion
5,-0.5948574542999268,0.5948574542999268,0.0,0.0,0.0,0.0,phase1_locomotion
6,-0.610576868057251,0.610576868057251,0.0,0.0,0.0,0.0,phase1_locomotion
7,-0.6050668954849243,0.6050668954849243,0.0,0.0,0.0,0.0,phase1_locomotion
8,-0.6020187139511108,0.6020187139511108,0.0,0.0,0.0,0.0,phase1_locomotion
9,-0.6019326448440552,0.6019326448440552,0.0,0.0,0.0,0.0,phase1_locomotion
10,-0.6053875684738159,0.6053875684738159,0.0,0.0,0.0,0.0,phase1_locomotion
11,-0.6099158525466919,0.6099158525466919,0.0,0.0,0.0,0.0,phase1_locomotion
12,-0.6162744760513306,0.6162744760513306,0.0,0.0,0.0,0.0,phase1_locomotion
13,-0.6291548013687134,0.6191548109054565,0.0,0.0,0.0,0.0,phase1_locomotion
14,-0.6342564821243286,0.6242564916610718,0.0,0.0,0.0,0.0,phase1_locomotion
15,-0.6423735618591309,0.632373571395874,0.0,0.0,0.0,0.0,phase1_locomotion
16,-0.6454759836196899,0.6354759931564331,0.0,0.0,0.0,0.0,phase1_locomotion
17,-0.6518995761871338,0.641899585723877,0.0,0.0,0.0,0.0,phase1_locomotion
18,-0.6512380838394165,0.6512380838394165,0.0,0.0,0.0,0.0,phase1_locomotion
19,-0.653290867805481,0.653290867805481,0.0,0.0,0.0,0.0,phase1_locomotion
20,-0.6570321321487427,0.6570321321487427,0.0,0.0,0.0,0.0,phase1_locomotion
21,-0.628432035446167,0.628432035446167,0.0,0.0,0.0,0.0,phase1_locomotion
22,-0.6142224073410034,0.6142224073410034,0.0,0.0,0.0,0.0,phase1_locomotion
23,-0.6083381175994873,0.6083381175994873,0.0,0.0,0.0,0.0,phase1_locomotion
24,-0.6147977113723755,0.6047977209091187,0.0,0.0,0.0,0.0,phase1_locomotion
25,-0.6067591905593872,0.6067591905593872,0.0,0.0,0.0,0.0,phase1_locomotion
26,-0.6081126928329468,0.6081126928329468,0.0,0.0,0.0,0.0,phase1_locomotion
27,-0.5885584354400635,0.5885584354400635,0.0,0.0,0.0,0.0,phase1_locomotion
28,-0.5823729038238525,0.5823729038238525,0.0,0.0,0.0,0.0,phase1_locomotion
29,-0.5771603584289551,0.5771603584289551,0.0,0.0,0.0,0.0,phase1_locomotion
30,-0.5741859674453735,0.5741859674453735,0.0,0.0,0.0,0.0,phase1_locomotion
31,-0.5766249895095825,0.5766249895095825,0.0,0.0,0.0,0.0,phase1_locomotion
32,-0.5789150595664978,0.5789150595664978,0.0,0.0,0.0,0.0,phase1_locomotion
33,-0.5587060451507568,0.5587060451507568,0.0,0.0,0.0,0.0,phase1_locomotion
34,-0.547655463218689,0.547655463218689,0.0,0.0,0.0,0.0,phase1_locomotion
35,-0.5417630672454834,0.5417630672454834,0.0,0.0,0.0,0.0,phase1_locomotion
36,-0.537381649017334,0.537381649017334,0.0,0.0,0.0,0.0,phase1_locomotion
37,-0.5402293801307678,0.5402293801307678,0.0,0.0,0.0,0.0,phase1_locomotion
38,-0.5423097610473633,0.5423097610473633,0.0,0.0,0.0,0.0,phase1_locomotion
