step,reward,goal_error,goal_progress,goal_success,op_delta_damage,self_delta_damage,stage_name
1,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
2,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
3,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
4,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
5,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
6,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
7,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
8,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
9,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
10,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
11,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
12,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
13,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
14,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
15,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
16,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
17,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
18,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
19,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
20,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
21,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
22,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
23,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
24,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
25,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
26,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
27,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
28,0.0,0.11862686276435852,0.0,0.0,0.0,0.0,stage1_homing_missile
29,0.0,0.10551148653030396,0.0,0.0,0.0,0.0,stage1_homing_missile
30,0.0,0.10551148653030396,0.0,0.0,0.0,0.0,stage1_homing_missile
31,0.0,0.10551148653030396,0.0,0.0,0.0,0.0,stage1_homing_missile
32,0.0,0.10551148653030396,0.0,0.0,0.0,0.0,stage1_homing_missile
33,0.0,0.10551148653030396,0.0,0.0,0.0,0.0,stage1_homing_missile
34,0.0,0.10551148653030396,0.0,0.0,0.0,0.0,stage1_homing_missile
35,0.0,0.10551148653030396,0.0,0.0,0.0,0.0,stage1_homing_missile
36,0.0,0.10551148653030396,0.0,0.0,0.0,0.0,stage1_homing_missile
37,0.0,0.10551148653030396,0.0,0.0,0.0,0.0,stage1_homing_missile
38,0.0,0.10551148653030396,0.0,0.0,0.0,0.0,stage1_homing_missile
39,0.0,0.10551148653030396,0.0,0.0,0.0,0.0,stage1_homing_missile
40,0.0,0.10551148653030396,0.0,0.0,0.0,0.0,stage1_homing_missile
41,0.0,0.10551148653030396,0.0,0.0,0.0,0.0,stage1_homing_missile
